BENCH: alexnet
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
7, 0.00189890, 0.00004325, 100, 0.46, 0.00199647, 0.00000246, 4, 0.00077143, 0.00000115, 597, 1.05, 0.41
8, 0.00000299, 0.00000002, 23, 0.20, 0.00000361, 0.00000001, 25, 0.00000361, 0.00000001, 25, 1.21, 1.21
9, 0.00000093, 0.00000001, 14, 0.05, 0.00000330, 0.00000000, 25, 0.00000330, 0.00000000, 25, 3.56, 3.56
10, 0.00000482, 0.00000080, 14, 0.04, 0.00000678, 0.00000000, 1, 0.00000678, 0.00000000, 1, 1.41, 1.41
11, 0.00423162, 0.00000250, 1, 0.49, 0.00423162, 0.00000250, 18, 0.00419662, 0.00000120, 2630, 1.00, 0.99
12, 0.00169617, 0.00006546, 1, 0.24, 0.00169617, 0.00006546, 15, 0.00156610, 0.00000054, 1051, 1.00, 0.92
13, 0.00004441, 0.00000014, 1, 0.09, 0.00004441, 0.00000014, 35, 0.00004314, 0.00000012, 54, 1.00, 0.97
14, 0.00000429, 0.00000002, 100, 0.16, 0.00000746, 0.00000000, 47, 0.00000746, 0.00000000, 47, 1.74, 1.74
TOP: 100
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000710, 0.00000034, 10, 0.02, 0.00000710, 0.00000034, 1, 0.00000710, 0.00000034, 1, 1.00, 1.00
1, 0.00052172, 0.00000580, 100, 0.34, 0.00056481, 0.00000122, 64, 0.00050548, 0.00000150, 389, 1.08, 0.97
2, 0.00000545, 0.00000002, 16, 0.03, 0.00000545, 0.00000002, 3, 0.00000545, 0.00000002, 3, 1.00, 1.00
3, 0.00212412, 0.00003809, 99, 0.58, 0.00218345, 0.00000184, 98, 0.00168240, 0.00000207, 1494, 1.03, 0.79
4, 0.00000479, 0.00000001, 24, 0.08, 0.00000479, 0.00000001, 13, 0.00000479, 0.00000001, 13, 1.00, 1.00
5, 0.00081543, 0.00001659, 80, 0.26, 0.00098879, 0.00000166, 87, 0.00081104, 0.00000210, 642, 1.21, 0.99
6, 0.00118313, 0.00001041, 77, 0.36, 0.00127819, 0.00007471, 70, 0.00117272, 0.00000157, 1048, 1.08, 0.99
7, 0.00107674, 0.00001821, 83, 0.30, 0.00112156, 0.00000230, 85, 0.00077143, 0.00000115, 597, 1.04, 0.72
8, 0.00000299, 0.00000003, 32, 0.39, 0.00000361, 0.00000001, 25, 0.00000361, 0.00000001, 25, 1.21, 1.21
9, 0.00000092, 0.00000002, 14, 0.04, 0.00000330, 0.00000000, 25, 0.00000330, 0.00000000, 25, 3.59, 3.59
10, 0.00000358, 0.00000003, 14, 0.04, 0.00000678, 0.00000000, 1, 0.00000678, 0.00000000, 1, 1.89, 1.89
11, 0.00421373, 0.00000365, 1, 0.40, 0.00421373, 0.00000365, 71, 0.00419662, 0.00000120, 2630, 1.00, 1.00
12, 0.00158386, 0.00000145, 1, 0.31, 0.00158386, 0.00000145, 78, 0.00156610, 0.00000054, 1051, 1.00, 0.99
13, 0.00004314, 0.00000012, 1, 0.08, 0.00004314, 0.00000012, 54, 0.00004314, 0.00000012, 54, 1.00, 1.00
14, 0.00000430, 0.00000003, 68, 0.11, 0.00000746, 0.00000000, 47, 0.00000746, 0.00000000, 47, 1.74, 1.74
TOP: 200
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000710, 0.00000034, 10, 0.02, 0.00000710, 0.00000034, 1, 0.00000710, 0.00000034, 1, 1.00, 1.00
1, 0.00050538, 0.00000358, 84, 0.25, 0.00053235, 0.00000071, 132, 0.00050548, 0.00000150, 389, 1.05, 1.00
2, 0.00000545, 0.00000002, 16, 0.03, 0.00000545, 0.00000002, 3, 0.00000545, 0.00000002, 3, 1.00, 1.00
3, 0.00176411, 0.00002449, 100, 0.42, 0.00181598, 0.00000175, 200, 0.00168240, 0.00000207, 1494, 1.03, 0.95
4, 0.00000479, 0.00000001, 24, 0.07, 0.00000479, 0.00000001, 13, 0.00000479, 0.00000001, 13, 1.00, 1.00
5, 0.00078023, 0.00000798, 100, 0.34, 0.00085296, 0.00000172, 195, 0.00081104, 0.00000210, 642, 1.09, 1.04
6, 0.00118695, 0.00001309, 100, 0.47, 0.00120407, 0.00000067, 131, 0.00117272, 0.00000157, 1048, 1.01, 0.99
7, 0.00079370, 0.00000797, 100, 0.58, 0.00081039, 0.00000052, 196, 0.00077143, 0.00000115, 597, 1.02, 0.97
8, 0.00000299, 0.00000003, 23, 0.20, 0.00000361, 0.00000001, 25, 0.00000361, 0.00000001, 25, 1.21, 1.21
9, 0.00000094, 0.00000002, 14, 0.05, 0.00000330, 0.00000000, 25, 0.00000330, 0.00000000, 25, 3.53, 3.53
10, 0.00000356, 0.00000003, 14, 0.04, 0.00000678, 0.00000000, 1, 0.00000678, 0.00000000, 1, 1.90, 1.90
11, 0.00421373, 0.00000365, 1, 0.39, 0.00421373, 0.00000365, 71, 0.00419662, 0.00000120, 2630, 1.00, 1.00
12, 0.00157904, 0.00000042, 1, 0.39, 0.00157904, 0.00000042, 137, 0.00156610, 0.00000054, 1051, 1.00, 0.99
13, 0.00004314, 0.00000012, 1, 0.08, 0.00004314, 0.00000012, 54, 0.00004314, 0.00000012, 54, 1.00, 1.00
14, 0.00000433, 0.00000005, 46, 0.08, 0.00000746, 0.00000000, 47, 0.00000746, 0.00000000, 47, 1.73, 1.73
TOP: 300
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000710, 0.00000034, 10, 0.02, 0.00000710, 0.00000034, 1, 0.00000710, 0.00000034, 1, 1.00, 1.00
1, 0.00049694, 0.00001298, 76, 0.24, 0.00053235, 0.00000071, 132, 0.00050548, 0.00000150, 389, 1.07, 1.02
2, 0.00000545, 0.00000002, 16, 0.03, 0.00000545, 0.00000002, 3, 0.00000545, 0.00000002, 3, 1.00, 1.00
3, 0.00173366, 0.00002844, 100, 0.50, 0.00178031, 0.00000222, 275, 0.00168240, 0.00000207, 1494, 1.03, 0.97
4, 0.00000479, 0.00000001, 24, 0.07, 0.00000479, 0.00000001, 13, 0.00000479, 0.00000001, 13, 1.00, 1.00
5, 0.00078380, 0.00001021, 75, 0.23, 0.00082149, 0.00000160, 296, 0.00081104, 0.00000210, 642, 1.05, 1.03
6, 0.00118244, 0.00001363, 72, 0.25, 0.00118578, 0.00000210, 210, 0.00117272, 0.00000157, 1048, 1.00, 0.99
7, 0.00079555, 0.00000541, 72, 0.28, 0.00081039, 0.00000052, 196, 0.00077143, 0.00000115, 597, 1.02, 0.97
8, 0.00000302, 0.00000003, 35, 0.24, 0.00000361, 0.00000001, 25, 0.00000361, 0.00000001, 25, 1.20, 1.20
9, 0.00000093, 0.00000002, 14, 0.04, 0.00000330, 0.00000000, 25, 0.00000330, 0.00000000, 25, 3.55, 3.55
10, 0.00000458, 0.00000002, 14, 0.04, 0.00000678, 0.00000000, 1, 0.00000678, 0.00000000, 1, 1.48, 1.48
11, 0.00421025, 0.00000133, 1, 0.37, 0.00421025, 0.00000133, 257, 0.00419662, 0.00000120, 2630, 1.00, 1.00
12, 0.00157904, 0.00000042, 1, 0.28, 0.00157904, 0.00000042, 137, 0.00156610, 0.00000054, 1051, 1.00, 0.99
13, 0.00004314, 0.00000012, 1, 0.08, 0.00004314, 0.00000012, 54, 0.00004314, 0.00000012, 54, 1.00, 1.00
14, 0.00000432, 0.00000001, 79, 0.14, 0.00000746, 0.00000000, 47, 0.00000746, 0.00000000, 47, 1.73, 1.73
TOP: 1000
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000710, 0.00000034, 10, 0.02, 0.00000710, 0.00000034, 1, 0.00000710, 0.00000034, 1, 1.00, 1.00
1, 0.00048198, 0.00000351, 100, 0.33, 0.00050548, 0.00000150, 389, 0.00050548, 0.00000150, 389, 1.05, 1.05
2, 0.00000545, 0.00000002, 16, 0.03, 0.00000545, 0.00000002, 3, 0.00000545, 0.00000002, 3, 1.00, 1.00
3, 0.00163882, 0.00003244, 74, 0.32, 0.00169537, 0.00000148, 985, 0.00168240, 0.00000207, 1494, 1.03, 1.03
4, 0.00000479, 0.00000001, 24, 0.07, 0.00000479, 0.00000001, 13, 0.00000479, 0.00000001, 13, 1.00, 1.00
5, 0.00077643, 0.00001424, 100, 0.37, 0.00081104, 0.00000210, 642, 0.00081104, 0.00000210, 642, 1.04, 1.04
6, 0.00117014, 0.00001207, 77, 0.32, 0.00117458, 0.00000159, 967, 0.00117272, 0.00000157, 1048, 1.00, 1.00
7, 0.00074511, 0.00001137, 72, 0.28, 0.00077143, 0.00000115, 597, 0.00077143, 0.00000115, 597, 1.04, 1.04
8, 0.00000302, 0.00000003, 41, 0.41, 0.00000361, 0.00000001, 25, 0.00000361, 0.00000001, 25, 1.19, 1.19
9, 0.00000094, 0.00000002, 14, 0.04, 0.00000330, 0.00000000, 25, 0.00000330, 0.00000000, 25, 3.53, 3.53
10, 0.00000366, 0.00000003, 10, 0.02, 0.00000678, 0.00000000, 1, 0.00000678, 0.00000000, 1, 1.85, 1.85
11, 0.00420222, 0.00000034, 1, 0.32, 0.00420222, 0.00000034, 858, 0.00419662, 0.00000120, 2630, 1.00, 1.00
12, 0.00157228, 0.00000100, 1, 0.24, 0.00157228, 0.00000100, 987, 0.00156610, 0.00000054, 1051, 1.00, 1.00
13, 0.00004314, 0.00000012, 1, 0.08, 0.00004314, 0.00000012, 54, 0.00004314, 0.00000012, 54, 1.00, 1.00
14, 0.00000430, 0.00000003, 100, 0.17, 0.00000746, 0.00000000, 47, 0.00000746, 0.00000000, 47, 1.73, 1.73
BENCH: vgg11
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000706, 0.00000036, 10, 0.02, 0.00000706, 0.00000036, 1, 0.00000706, 0.00000036, 1, 1.00, 1.00
1, 0.00163408, 0.00003545, 39, 0.15, 0.00163408, 0.00003545, 1, 0.00073333, 0.00000105, 125, 1.00, 0.45
2, 0.00024587, 0.00000015, 33, 0.08, 0.00024587, 0.00000015, 1, 0.00003215, 0.00000000, 4, 1.00, 0.13
3, 0.00971948, 0.00001566, 73, 0.95, 0.01360435, 0.00001440, 1, 0.00631379, 0.00002358, 940, 1.40, 0.65
4, 0.00002618, 0.00000036, 23, 0.05, 0.00002618, 0.00000036, 1, 0.00001672, 0.00000001, 37, 1.00, 0.64
5, 0.00000833, 0.00000001, 10, 0.02, 0.00000833, 0.00000001, 1, 0.00000833, 0.00000001, 1, 1.00, 1.00
6, 0.02715461, 0.00000832, 100, 1.42, 0.03488910, 0.00117032, 1, 0.00605972, 0.00000305, 789, 1.28, 0.22
7, 0.00006418, 0.00000042, 10, 0.03, 0.00006787, 0.00000008, 1, 0.00006787, 0.00000008, 1, 1.06, 1.06
8, 0.01940663, 0.00003285, 97, 1.55, 0.02013607, 0.00004235, 1, 0.01219016, 0.00000414, 1042, 1.04, 0.63
9, 0.00003986, 0.00000063, 90, 0.68, 0.00012145, 0.00000852, 1, 0.00000785, 0.00000001, 43, 3.05, 0.20
10, 0.00002021, 0.00000035, 11, 0.03, 0.00002037, 0.00000017, 1, 0.00001919, 0.00000100, 2, 1.01, 0.95
11, 0.01083830, 0.00003581, 100, 1.49, 0.01518314, 0.00002087, 1, 0.00619687, 0.00000448, 704, 1.40, 0.57
12, 0.00003659, 0.00000037, 11, 0.03, 0.00003769, 0.00000010, 1, 0.00003447, 0.00000007, 2, 1.03, 0.94
13, 0.12053030, 0.00017090, 89, 15.88, 0.53824535, 0.01961250, 1, 0.01236692, 0.00000163, 1753, 4.47, 0.10
14, 0.00000540, 0.00000004, 16, 0.18, 0.00000540, 0.00000004, 1, 0.00000540, 0.00000004, 1, 1.00, 1.00
15, 0.00001205, 0.00000048, 17, 0.06, 0.00001331, 0.00000220, 1, 0.00001242, 0.00000001, 2, 1.10, 1.03
16, 0.01085622, 0.00001820, 86, 1.43, 0.02075402, 0.00338644, 1, 0.00314639, 0.00000040, 579, 1.91, 0.29
17, 0.00001125, 0.00000064, 81, 0.54, 0.00001452, 0.00000108, 1, 0.00000390, 0.00000000, 22, 1.29, 0.35
18, 0.00000409, 0.00000005, 35, 0.25, 0.00000978, 0.00000001, 1, 0.00000350, 0.00000001, 12, 2.39, 0.86
19, 0.00000793, 0.00000000, 10, 0.02, 0.00000793, 0.00000000, 1, 0.00000793, 0.00000000, 1, 1.00, 1.00
20, 0.01152160, 0.00009896, 1, 0.95, 0.01152160, 0.00009896, 1, 0.01141526, 0.00000371, 1081, 1.00, 0.99
21, 0.00462231, 0.00049573, 1, 0.31, 0.00462231, 0.00049573, 1, 0.00158389, 0.00000340, 23, 1.00, 0.34
22, 0.00019624, 0.00000013, 1, 0.08, 0.00019624, 0.00000013, 1, 0.00004302, 0.00000180, 60, 1.00, 0.22
23, 0.00000471, 0.00000001, 72, 0.10, 0.00000753, 0.00000002, 1, 0.00000753, 0.00000002, 1, 1.60, 1.60
TOP: 10
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000706, 0.00000036, 10, 0.02, 0.00000706, 0.00000036, 1, 0.00000706, 0.00000036, 1, 1.00, 1.00
1, 0.00085474, 0.00000859, 81, 0.43, 0.00089987, 0.00000227, 4, 0.00073333, 0.00000105, 125, 1.05, 0.86
2, 0.00003117, 0.00000213, 25, 0.08, 0.00003215, 0.00000000, 4, 0.00003215, 0.00000000, 4, 1.03, 1.03
3, 0.00955729, 0.00000866, 100, 1.24, 0.00993600, 0.00043573, 8, 0.00631379, 0.00002358, 940, 1.04, 0.66
4, 0.00001737, 0.00000074, 10, 0.03, 0.00001737, 0.00000074, 10, 0.00001672, 0.00000001, 37, 1.00, 0.96
5, 0.00000833, 0.00000001, 10, 0.02, 0.00000833, 0.00000001, 1, 0.00000833, 0.00000001, 1, 1.00, 1.00
6, 0.01824746, 0.00004055, 79, 1.40, 0.02655876, 0.00103677, 5, 0.00605972, 0.00000305, 789, 1.46, 0.33
7, 0.00006483, 0.00000007, 10, 0.03, 0.00006787, 0.00000008, 1, 0.00006787, 0.00000008, 1, 1.05, 1.05
8, 0.01990631, 0.00001266, 75, 1.01, 0.02013607, 0.00004235, 1, 0.01219016, 0.00000414, 1042, 1.01, 0.61
9, 0.00001665, 0.00000001, 23, 0.04, 0.00001665, 0.00000001, 2, 0.00000785, 0.00000001, 43, 1.00, 0.47
10, 0.00001883, 0.00000012, 14, 0.04, 0.00001919, 0.00000100, 2, 0.00001919, 0.00000100, 2, 1.02, 1.02
11, 0.00889835, 0.00001439, 100, 1.81, 0.00967461, 0.00001918, 3, 0.00619687, 0.00000448, 704, 1.09, 0.70
12, 0.00003436, 0.00000022, 10, 0.02, 0.00003447, 0.00000007, 2, 0.00003447, 0.00000007, 2, 1.00, 1.00
13, 0.04410034, 0.00003196, 39, 1.94, 0.04410034, 0.00003196, 4, 0.01236692, 0.00000163, 1753, 1.00, 0.28
14, 0.00000540, 0.00000004, 16, 0.18, 0.00000540, 0.00000004, 1, 0.00000540, 0.00000004, 1, 1.00, 1.00
15, 0.00001242, 0.00000001, 11, 0.03, 0.00001242, 0.00000001, 2, 0.00001242, 0.00000001, 2, 1.00, 1.00
16, 0.01234931, 0.00002902, 62, 0.60, 0.01246046, 0.00001292, 4, 0.00314639, 0.00000040, 579, 1.01, 0.25
17, 0.00000394, 0.00000000, 16, 0.06, 0.00000394, 0.00000000, 5, 0.00000390, 0.00000000, 22, 1.00, 0.99
18, 0.00000247, 0.00000004, 16, 0.05, 0.00000353, 0.00000000, 3, 0.00000350, 0.00000001, 12, 1.43, 1.42
19, 0.00000793, 0.00000000, 10, 0.02, 0.00000793, 0.00000000, 1, 0.00000793, 0.00000000, 1, 1.00, 1.00
20, 0.01152160, 0.00009896, 1, 0.93, 0.01152160, 0.00009896, 1, 0.01141526, 0.00000371, 1081, 1.00, 0.99
21, 0.00183866, 0.00000067, 1, 0.24, 0.00183866, 0.00000067, 10, 0.00158389, 0.00000340, 23, 1.00, 0.86
22, 0.00010389, 0.00000003, 1, 0.09, 0.00010389, 0.00000003, 10, 0.00004302, 0.00000180, 60, 1.00, 0.41
23, 0.00000469, 0.00000004, 100, 0.17, 0.00000753, 0.00000002, 1, 0.00000753, 0.00000002, 1, 1.61, 1.61
TOP: 50
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000706, 0.00000036, 10, 0.02, 0.00000706, 0.00000036, 1, 0.00000706, 0.00000036, 1, 1.00, 1.00
1, 0.00085870, 0.00001761, 100, 0.57, 0.00089987, 0.00000227, 4, 0.00073333, 0.00000105, 125, 1.05, 0.85
2, 0.00003104, 0.00000084, 34, 0.11, 0.00003215, 0.00000000, 4, 0.00003215, 0.00000000, 4, 1.04, 1.04
3, 0.00963030, 0.00000724, 77, 0.52, 0.00993600, 0.00043573, 8, 0.00631379, 0.00002358, 940, 1.03, 0.66
4, 0.00001672, 0.00000001, 16, 0.05, 0.00001672, 0.00000001, 37, 0.00001672, 0.00000001, 37, 1.00, 1.00
5, 0.00000833, 0.00000001, 10, 0.02, 0.00000833, 0.00000001, 1, 0.00000833, 0.00000001, 1, 1.00, 1.00
6, 0.00782553, 0.00001446, 67, 0.73, 0.00828392, 0.00031950, 20, 0.00605972, 0.00000305, 789, 1.06, 0.77
7, 0.00006573, 0.00000119, 10, 0.03, 0.00006787, 0.00000008, 1, 0.00006787, 0.00000008, 1, 1.03, 1.03
8, 0.01843723, 0.00006938, 100, 1.59, 0.01926843, 0.00127275, 26, 0.01219016, 0.00000414, 1042, 1.05, 0.66
9, 0.00000785, 0.00000001, 16, 0.04, 0.00000785, 0.00000001, 43, 0.00000785, 0.00000001, 43, 1.00, 1.00
10, 0.00001854, 0.00000038, 17, 0.06, 0.00001919, 0.00000100, 2, 0.00001919, 0.00000100, 2, 1.03, 1.03
11, 0.00892810, 0.00000261, 80, 1.46, 0.00967461, 0.00001918, 3, 0.00619687, 0.00000448, 704, 1.08, 0.69
12, 0.00003409, 0.00000023, 14, 0.04, 0.00003447, 0.00000007, 2, 0.00003447, 0.00000007, 2, 1.01, 1.01
13, 0.01726606, 0.00001878, 73, 0.94, 0.01803791, 0.00059939, 17, 0.01236692, 0.00000163, 1753, 1.04, 0.72
14, 0.00000540, 0.00000004, 16, 0.18, 0.00000540, 0.00000004, 1, 0.00000540, 0.00000004, 1, 1.00, 1.00
15, 0.00001242, 0.00000001, 11, 0.03, 0.00001242, 0.00000001, 2, 0.00001242, 0.00000001, 2, 1.00, 1.00
16, 0.00470887, 0.00004596, 100, 0.82, 0.00513127, 0.00000809, 32, 0.00314639, 0.00000040, 579, 1.09, 0.67
17, 0.00000390, 0.00000000, 16, 0.06, 0.00000390, 0.00000000, 22, 0.00000390, 0.00000000, 22, 1.00, 1.00
18, 0.00000246, 0.00000002, 48, 0.12, 0.00000350, 0.00000001, 12, 0.00000350, 0.00000001, 12, 1.43, 1.43
19, 0.00000793, 0.00000000, 10, 0.02, 0.00000793, 0.00000000, 1, 0.00000793, 0.00000000, 1, 1.00, 1.00
20, 0.01147526, 0.00000342, 1, 0.94, 0.01147526, 0.00000342, 16, 0.01141526, 0.00000371, 1081, 1.00, 0.99
21, 0.00158389, 0.00000340, 1, 0.24, 0.00158389, 0.00000340, 23, 0.00158389, 0.00000340, 23, 1.00, 1.00
22, 0.00004390, 0.00000009, 1, 0.08, 0.00004390, 0.00000009, 42, 0.00004302, 0.00000180, 60, 1.00, 0.98
23, 0.00000469, 0.00000002, 100, 0.16, 0.00000753, 0.00000002, 1, 0.00000753, 0.00000002, 1, 1.61, 1.61
TOP: 100
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000700, 0.00000025, 14, 0.04, 0.00000706, 0.00000036, 1, 0.00000706, 0.00000036, 1, 1.01, 1.01
1, 0.00071292, 0.00001827, 75, 0.30, 0.00076199, 0.00000043, 96, 0.00073333, 0.00000105, 125, 1.07, 1.03
2, 0.00003126, 0.00000088, 27, 0.08, 0.00003215, 0.00000000, 4, 0.00003215, 0.00000000, 4, 1.03, 1.03
3, 0.00741280, 0.00001371, 88, 1.09, 0.00762723, 0.00001160, 100, 0.00631379, 0.00002358, 940, 1.03, 0.85
4, 0.00001672, 0.00000001, 16, 0.05, 0.00001672, 0.00000001, 37, 0.00001672, 0.00000001, 37, 1.00, 1.00
5, 0.00000833, 0.00000001, 10, 0.03, 0.00000833, 0.00000001, 1, 0.00000833, 0.00000001, 1, 1.00, 1.00
6, 0.00783362, 0.00001606, 72, 0.45, 0.00818364, 0.00035849, 82, 0.00605972, 0.00000305, 789, 1.04, 0.77
